crop,farm_size_ha,province,district,ward,planting_date,planting_month,yield_tonnes_per_ha,rainfall_planting_month,rainfall_1_month_before,rainfall_2_months_before,rainfall_3_months_before,rainfall_preplant_3m_total,rainfall_preplant_3m_mean,preplant_rain_months_available,soil_ph,soil_organic_carbon_g_kg,soil_nitrogen_g_kg,soil_clay_percent,soil_sand_percent,soil_silt_percent,ndvi_preplant_mean,ndvi_preplant_max,ndvi_preplant_min,ndvi_preplant_std,ndvi_preplant_median,ndvi_preplant_first,ndvi_preplant_last,ndvi_preplant_observations,ndvi_preplant_change
 Maize(for grain),0.81,Eastern,Sinda,MNGDOMBA,2024-12-01,12,0.7098765432098765,112.3748016357422,76.95016479492188,14.941022872924805,,,,2,6.2,16.1,1.34,18.1,65.9,16.0,0.303975,0.402,0.2568,0.0668891807394888,0.27855,0.2568,0.402,4,0.1452
 Maize(for grain),1.0,North Western,Mushindano,KILUMBA,2024-10-01,10,1.4375,49.16716003417969,,,,,,0,5.8,22.9,1.77,32.1,37.3,30.6,0.6206,0.6206,0.6206,0.0,0.6206,0.6206,0.6206,1,0.0
 Groundnuts(unshelled),0.25,North Western,Mushindano,KILUMBA,2024-10-01,10,2.0,49.16716003417969,,,,,,0,5.8,22.9,1.77,32.1,37.3,30.6,0.6206,0.6206,0.6206,0.0,0.6206,0.6206,0.6206,1,0.0
 Maize(for grain),0.405,Eastern,Chipangali,KASENGA,2024-12-01,12,0.7098765432098765,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Soya beans (for grain),0.405,Eastern,Chipangali,KASENGA,2024-12-01,12,0.4851358024691357,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Sunflower (for grain),0.405,Eastern,Chipangali,KASENGA,2024-12-01,12,0.2057777777777777,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Maize(for grain),2.0,Southern,Chirundu,MUSHUNGU,2025-01-01,1,0.0,226.0818634033203,72.29200744628906,47.28758239746094,15.169661521911618,134.74925136566162,44.91641712188721,3,6.5,18.3,1.16,16.5,65.7,17.9,0.29575,0.3212,0.2662,0.0217930034644149,0.2967499999999999,0.2662,0.3212,6,0.0549999999999999
 Sorghum(for grain),2.0,Southern,Chirundu,MUSHUNGU,2025-01-01,1,0.0,226.0818634033203,72.29200744628906,47.28758239746094,15.169661521911618,134.74925136566162,44.91641712188721,3,6.5,18.3,1.16,16.5,65.7,17.9,0.29575,0.3212,0.2662,0.0217930034644149,0.2967499999999999,0.2662,0.3212,6,0.0549999999999999
 Finger Millet,1.0,Southern,Chirundu,MUSHUNGU,2025-01-01,1,0.1845,226.0818634033203,72.29200744628906,47.28758239746094,15.169661521911618,134.74925136566162,44.91641712188721,3,6.5,18.3,1.16,16.5,65.7,17.9,0.29575,0.3212,0.2662,0.0217930034644149,0.2967499999999999,0.2662,0.3212,6,0.0549999999999999
 Maize(for grain),0.25,Eastern,Chipangali,SISINJE,2024-12-01,12,0.92,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Soya beans (for grain),0.6075,Eastern,Chipangali,SISINJE,2024-12-01,12,0.6468477366255143,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Soya beans (for grain),2.43,Eastern,Chipangali,SISINJE,2024-12-01,12,0.6064197530864196,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Groundnuts(unshelled),0.25,Eastern,Chipangali,SISINJE,2024-12-01,12,0.32,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
